 Name                     Version    License                                                          
 jupyterlab-server        2.12.0     BSD License                                                      
 jupyterlab-widgets       1.1.0      BSD License                                                      
 kiwisolver               1.4.2      BSD License                                                      
 lifelines                0.27.0     MIT License                                                      
 matplotlib               3.5.1      Python Software Foundation License                               
 matplotlib-inline        0.1.3      BSD 3-Clause                                                     
 mistune                  0.8.4      BSD License                                                      
 more-itertools           8.12.0     MIT License                                                      
 multidict                6.0.2      Apache Software License                                          
 nbclassic                0.3.7      BSD License                                                      
 nbclient                 0.5.13     BSD License                                                      
 nbconvert                6.4.5      BSD License                                                      
 nbformat                 5.2.0      BSD License                                                      
 nest-asyncio             1.5.4      BSD License                                                      
 notebook                 6.4.10     BSD License                                                      
 notebook-shim            0.1.0      BSD License                                                      
 numpy                    1.22.3     BSD License                                                      
 oauthlib                 3.2.0      BSD License                                                      
 opt-einsum               3.3.0      MIT                                                              
 packaging                21.3       Apache Software License; BSD License                             
 pandas                   1.4.1      BSD License                                                      
 pandocfilters            1.5.0      BSD License                                                      
 parso                    0.8.3      MIT License                                                      
 pathtools                0.1.2      MIT License                                                      
 pexpect                  4.8.0      ISC License (ISCL)                                               
 pickleshare              0.7.5      MIT License                                                      
 plotly                   5.6.0      MIT                                                              
 pluggy                   0.13.1     MIT License                                                      
 prometheus-client        0.13.1     Apache Software License                                          
 promise                  2.3        MIT License                                                      
 prompt-toolkit           3.0.28     BSD License                                                      
 protobuf                 3.19.4     3-Clause BSD License                                             
 psutil                   5.9.0      BSD License                                                      
 ptyprocess               0.7.0      ISC License (ISCL)                                               
 pure-eval                0.2.2      MIT License                                                      
 py                       1.11.0     MIT License                                                      
 pyDeprecate              0.3.2      MIT                                                              
 pyasn1                   0.4.8      BSD License                                                      
 pyasn1-modules           0.2.8      BSD License                                                      
 pycparser                2.21       BSD License                                                      
 pyparsing                3.0.7      MIT License                                                      
 pyro-api                 0.1.2      Apache Software License                                          
 pyro-ppl                 1.8.1      Apache Software License                                          
 pyrsistent               0.18.1     MIT License                                                      
 pytest                   5.4.3      MIT License                                                      
 python-dateutil          2.8.2      Apache Software License; BSD License                             
 pytorch-lightning        1.6.0      Apache Software License                                          
 pytz                     2022.1     MIT License                                                      
 pyzmq                    22.3.0     BSD License; GNU Library or Lesser General Public License (LGPL) 
 requests                 2.27.1     Apache Software License                                          
 requests-oauthlib        1.3.1      BSD License                                                      
 rsa                      4.8        Apache Software License                                          
 scikit-learn             1.0.2      new BSD                                                          
 scipy                    1.8.0      BSD License                                                      
 seaborn                  0.11.2     BSD License                                                      
 sentry-sdk               1.5.8      BSD License                                                      
 setproctitle             1.2.2      BSD License                                                      
 setuptools-scm           6.4.2      MIT License                                                      
 shortuuid                1.0.8      BSD License; Other/Proprietary License                           
 six                      1.16.0     MIT License                                                      
 smmap                    5.0.0      BSD License                                                      
 sniffio                  1.2.0      Apache Software License; MIT License                             
 soupsieve                2.3.1      MIT License                                                      
 stack-data               0.2.0      MIT License                                                      
 tabulate                 0.8.9      MIT License                                                      
 tenacity                 8.0.1      Apache Software License                                          
 tensorboard              2.8.0      Apache Software License                                          
 tensorboard-data-server  0.6.1      Apache Software License                                          
 tensorboard-plugin-wit   1.8.1      Apache 2.0                                                       
 termcolor                1.1.0      MIT License                                                      
 terminado                0.13.3     BSD License                                                      
 testpath                 0.6.0      BSD License                                                      
 threadpoolctl            3.1.0      BSD License                                                      
 toml                     0.10.2     MIT License                                                      
 tomli                    2.0.1      MIT License                                                      
 torch                    1.11.0     BSD License                                                      
 torchdiffeq              0.2.2      MIT License                                                      
 torchmetrics             0.7.3      Apache Software License                                          
 torchvision              0.12.0     BSD                                                              
 tornado                  6.1        Apache Software License                                          
 tqdm                     4.63.1     MIT License; Mozilla Public License 2.0 (MPL 2.0)                
 traitlets                5.1.1      BSD License                                                      
 typing-extensions        4.1.1      Python Software Foundation License                               
 urllib3                  1.26.9     MIT License                                                      
 wandb                    0.12.11    MIT License                                                      
 wcwidth                  0.2.5      MIT License                                                      
 webencodings             0.5.1      BSD License                                                      
 websocket-client         1.3.2      Apache Software License                                          
 wrapt                    1.14.0     BSD License                                                      
 yarl                     1.7.2      Apache Software License                                          
 yaspin                   2.1.0      MIT License                                                      
 zipp                     3.7.0      MIT License                                                      
